id,status,description,major,internship,internship_description,why,strengths,hobbies,Is there anything else you'd like the mentees to know?
1,Full-Time Student,"A multi dimensional guy with a lot of interests including fitness, music (guitar player), watching podcasts surrounding many topics, etc. ",Engineering,Yes,,"I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Music, Film Enthusiast, Video Games / Gaming, Sports, Fitness",
2,Full-Time Student,"Hi, I am Huiting Song, from Shenzhen,China. ","Economics, Mathematics, Statistics",Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students","I am familiar with life in DC, I am friendly and welcoming, I used to be a mentor in my undergrad.","Music, Photography, Travel, Foodie / Restaurants, Video Games / Gaming, K-POP dancing",
3,Full-Time Student,Always ready to try my best to help you.,Statistics,Yes,"Data Assistant, Haikou Financial Holding Co., Ltd. 08/2021—09/2021","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Music, Art / Art History, Photography, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Sports, Fitness, Hiking",I am kind and alway want to try new things
4,Part-Time Student,"A warm welcome to you! 

Precisely a year ago, I was in your shoes, excited to embark on a new journey. Georgetown University has helped me grow in many ways I had never imagined! My journey started with my love for computers and mathematics, pushing me toward an undergraduate program in statistics. However, I wanted to expand my horizons. Hence, I pursued post-graduation in economics and finance. My affinity towards coding and statistics got me here to be a data science graduate. Amidst my career journey, I always made time to have fun. I love traveling, trying out new cafes, bars, and experiences, and meeting new people. 

I look forward to mentoring you!",Statistics,Yes,"Research Associate, National Stock Exchange of India Limited, Jan 2020-Mar 2020","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Photography, Travel, Foodie / Restaurants, Fitness",
5,Full-Time Student,,"Statistics, Data Science",No,,"I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I am friendly and welcoming","Music, Cooking, Video Games / Gaming","Hello! I am easy-going and glad to share my experience about this program. I have a background in statistics and computer science. By the way, I enjoy cooking."
6,Full-Time Student,"I am a Data Science Enthusiast with experience (studying and working) in this field for almost 6 years now. I really love Computer Vision, NLP, Deep Learning and other fields inside Data Science which I studied during my under-graduation in Mumbai, India. Enough about academics. Apart from academics, I love making new friends, exploring new places together and creating memories which is why I am so excited about Mentorship initiative by the program. My hobbies include Photography (choose me if you want pretty pictures :D), Videography, Sports and visiting new places. I have been in DC/Virginia for almost a year now (it is really pretty!!) and I would love to make you familiar with the place. See you soon!","Engineering, Data Science",Yes,"Machine Learning Intern, Konsultera Solutions, May 2020 - November 2020
Data Analyst, ICICI Bank, July 2021 - April 2021","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Museums, Photography, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Video Games / Gaming, Sports",
7,Full-Time Student,Science and mathematics enthusiast interested in pursuing a PhD.,"Economics, Finance",No,,"I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Languages, Science",
8,Part-Time Student,I’m a second year DSAN student. I’m currently working as a data engineer at peak6. ,Computer Science,Yes,"Data Waterhouse and data engineering, PEAK6, May 2022-may 2023","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I have work and/or internship experience, I am friendly and welcoming","Museums, Fitness, Hiking",
9,Full-Time Student,"I'm Chaitanya Shekar, and I'm a Master's degree candidate in data science. In India, I earned a bachelor's degree in mathematics, economics, and statistics, and now I'm living the good life and gaining experience in Data Science in the nation's capital. In view of the equal importance of developing both professionally and socially, I would be happy to lend whatever assistance I can in making your freshman year at Georgetown University and in Washington, DC, a rewarding experience.","Economics, Mathematics, Statistics",Yes,"Primary and Secondary Research Intern, Feedback Business Consulting Services Pvt., India, Nov 2021 - March 2022","I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I enjoy organizing social activities, I am friendly and welcoming","Music, Travel, Cooking, Foodie / Restaurants, Sports, Fitness, Cycling, Running",no
10,Full-Time Student,"I studied Business and French in undergrad and came into the program with some exposure to the Data Science/Analytics world. I decided to study Data Science because I already had the business-side understanding on what to do with data and technology, but I wanted to learn the technical side of it all. I came into the program without a strong mathematical background, so I think I can be of assistance to other students in the same position (happy to help students with a mathematical background as well).

When not busy with the program, I spend my time playing sports, watching tv (sports, tv shows, anime), playing video games, walking around the city (museums, restaurants, parks, etc.), and hanging with my cats. Aside from this, I'm usually listening to music and relaxing at home.","Business, French Language and Literature",No,"Internship would be this summer, so N/A","I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Music, Languages, Art / Art History, Museums, Film Enthusiast, Foodie / Restaurants, Video Games / Gaming, Sports",N/A
