id,Timestamp,Status:,How do you prefer to be contacted by your mentee(s)? Check all that apply. (Will NOT be Included),Write a short description about yourself to share with the mentees.,What was your undergraduate major? (Check all that apply),"By the end of this summer, will you have any internship experience?","If you'd like to include your internship experience in the file, please share a few details here. Indicate any of the following: Your title, company, date(s). For example: ""Data Analyst, MITRE, Jan 2022-May 2022."" If you have more than one, please list them according to the date. ",Why do you want to be a mentor? (Check all that apply),What would be your strengths as a mentor? (Check all that apply),What hobbies/activities do you enjoy in your free time? (Check all that apply),What is the maximum number of students you are willing to mentor?,Please indicate here any preferences or restrictions you would like to consider when a mentee(s) is selecting you:,Is there anything else you'd like the mentees to know?
1,5/30/2024 15:41:06,Full-Time Student,"Email, Text, Phone Call","Hello! I'm a 22-year-old graduate student at Georgetown University, currently diving deep into my studies and loving every bit of it. I love traveling and exploring new places, which helps me gather unique experiences and meet diverse people. When I'm not buried in books, I enjoy planning my next adventure, whether it's a local hidden gem or a flight away.","Computer Science, Data Science",No,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I enjoy organizing social activities, I am friendly and welcoming","Museums, Travel, Cooking, Foodie / Restaurants, Cycling",3-5,,
2,5/30/2024 16:07:33,Full-Time Student,"Email, Text, Phone Call",Hi!! I studied Statistics and Data Science at Salisbury University in MD and also DMV local. I am currently working as a Financial Management Specialist at government agency and interning at Navy Federal Credits Union as a Data Scientist this summer.,"Statistics, Data Science",Yes,"Data Scientist Summer Associate, Navy Federal Credits Union, May 2024-Aug 2024
Financial Management Specialist, Peace Corps, Jan 2024-Present
Revenue Management Analyst Intern, Self Storage Plus, Jun 2023-Aug 2023
Data Management Intern, United Way of Lower Eastern Shore, Feb 2023-May 2023
Data Analyst Intern, Rising Sun Global inc., Jun 2022-Aug 2022
Instructor Assistant/Water Safety Instructor, Charles County Government, Jun 2019-May 2024",I want to expand my professional network,"I am familiar with life in DC, I have work and/or internship experience, I am friendly and welcoming","Music, Travel, Foodie / Restaurants, Sports, Hiking",3-5,,"I have been travel around the world and I can speak Japanese and Cantonese. In my free time, I like to go concert especially EDM and hip-hop, shopping, gym, play/watch sports, travel, diy, cooking, try new foods, and sleep:))"
3,5/30/2024 16:17:49,Full-Time Student,"Email, Text","I did my undergrad in international studies and then worked on public sector/international development projects, so switching to data science has been a bit of an adjustment! I've also been in the DC area for about 6 years now, off-and-on, so I know the city somewhat well and can definitely recommend some good spots. In school, I'm focused on data science methods that are useful in the financial space; in my spare time, I enjoy hiking, trying out new coffee shops, and cooking.",International Studies,Yes,"Graduate summer associate, NY Fed, Markets Group, June '24-August '24","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Travel, Cooking, Hiking",3-5,,
4,5/30/2024 16:30:37,Full-Time Student,"Email, Text","I am from Beijing, China, and came to the US 3 years ago. I like exploring restaurants, bars, museums in the city, I love traveling, meeting new people, and being outdoors! I am also on the social committee and help organize the majority of the program's event, so if you have any questions about the program, about Georgetown, being a international student, life in dmv, I'd love to help out! ","Economics, Statistics",Yes,"Data Scientist Intern, Chubb, June 10 - August 16. ","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Museums, Film Enthusiast, Travel, Cooking, Foodie / Restaurants, Sports, Fitness, Cycling, Running, Hiking, Climbing",3-5,,
5,5/30/2024 18:50:19,Full-Time Student,Text,"Hi everyone! Welcome to the DSAN program! I’d love to share a little bit about myself - I grew up in central New Jersey and my family now lives in Connecticut.  I graduated from undergrad in 2021 from the University of Delaware, where I majored in management information systems and minored in business analytics. After graduating, I worked in IT consulting at KPMG for 2 years. From there, I joined the DSAN program in the fall of 2023. I’ve absolutely loved getting to be a part of the Georgetown community and being a Hoya! This summer, I will be interning at Spotify in NYC. Outside of work/academics, I love EDM and I travel all over the country attending music festivals. I also love cooking, playing tennis, going to the gym, and exploring farmers/flea markets. Not only am I looking forward to being a mentor in the professional/academic sense, but I’m also looking forward to making new friends 😊. I’m happy to give academic/professional guidance but also show you around campus, plan activities together, or just hang out! ",Management Information Systems,Yes,"Trust & Safety Intern, Spotify, June-August 2024","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Travel, Cooking, Foodie / Restaurants, Fitness",3-5,Looking forward to meeting other female students!,
6,5/30/2024 18:56:11,Full-Time Student,"Email, Text","Hello guys! Welcome to DSAN! I’m a big foodie and I’ve been living in the DMV area for three years. I do cycling, boxing and hiking in my downtime. Therefore, feel free to reach out if you need any food recommendations or would like to join me in the activities! My professional interest lies in the intersection between machine learning algorithms and business, and I’m looking forward to sharing and exchanging insights and experiences with you:)",Economics,Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Travel, Foodie / Restaurants, Sports, Fitness, Cycling, Hiking",3-5,,
7,5/30/2024 19:07:25,Full-Time Student,"Email, Text, Phone Call",I love exploring all the amazing restaurants around the DMV area. Cooking’s also my thing—I really enjoy getting creative in my kitchen. My first year in the DSAN program was awesome because I got tons of support. I’m pumped to pass on that same kindness and some cool tips to my mentees!,Economics,Yes,"Graduate Data Analyst Intern, NYC Department of Finance, Jun 2024 - Aug 2024.","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Museums, Travel, Cooking, Foodie / Restaurants, Fitness, Hiking",1-2,No preference or restriction,No
8,5/30/2024 19:59:29,Full-Time Student,"Email, Text","I am a second-year master's student in the Data Science and Analytics program. For the past four years, I've been living in the DMV area, which has become a wonderful home to me. When I'm not immersed in my studies, I love to travel and explore new places. Diving is one of my passions, and I find great joy and tranquility in exploring the underwater world. Additionally, I am an art enthusiast and often visit the National Gallery of Art to unwind and draw inspiration from the incredible collections. I look forward to sharing my journey and experiences with you and hope to learn from each of you as well.","Business, Business Analytics",Yes,,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Art / Art History, Museums, Photography, Film Enthusiast, Travel, Foodie / Restaurants, Sports",1-2,,
9,5/30/2024 20:18:29,Full-Time Student,Email,"Hi everyone! I'm currently a second-year student from Madrid, Spain, and I completed my undergraduate degree in Mathematics and Business at Franklin & Marshall College in Lancaster, PA. My experiences range from project management and entrepreneurship to sales and statistics. This summer, I'm excited to be working as a Data Analyst Intern for a public health company. In my free time, I enjoy music, sports, photography, traveling, and cooking. So, if you share any of those hobbies, reach out and I look forward to meeting you!","Business, Mathematics",Yes,"Data Analyst, ACHP (Alliance of Community Health Plans), May 2024-Aug 2024","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Photography, Travel, Cooking, Foodie / Restaurants, Sports",3-5,,
10,5/30/2024 22:09:50,Full-Time Student,Email,"I am very introverted, so I don't have much desire to share myself publicly here. But I can give a basic introduction: I studied finance as an undergraduate, and I am interested in the application of ML/NLP in financial topics. I welcome students from any background to communicate with me. Because I plan to apply for PhD, so I don't know much about the employment situation in the United States, but if you have the same background as me: you studied in a good university in China and you are a liberal arts or bussiness student, and  you hope to find a job in China in the future, then I can give you some useful guidance. I also want to find someone to explore DC's museums and other attractions with next semester. If you are interested, please contact me.",Finance,Yes,"Internship experience includes bank, securities research institute, government department, and automotive consulting.","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community, I want to practice how to care for and guide students.","I am strong academically, I have work and/or internship experience","Music, Photography, Travel, Cooking",8+,"I know that each student can only be assigned to one tutor, so if you are not looking to make friends but to get information, you need to consider whether my background will be helpful to you.",Please enjoy your vacation as much as possible because we will have a lot of homework when school starts.
