mentor_id,status,description,major,internship_experience,internship_details,why,strengths,hobbies,anything_else
1,Full-Time Student,"Hi! I’m originally from Ramsey, New Jersey, and I studied Applied Mathematics with a minor in Business Analytics at Towson University in Maryland. I’m in Alexandria, VA. Outside of work, I’m actively involved in the Georgetown Women in Data group and serve on the DSAN Social Committee. In my free time, I love exploring new restaurants and cafes, cooking at home, hiking, and just enjoying time outdoors. I also love traveling and am currently planning 2 solo trips to Central America and Southeast Asia :)",Applied Mathematics,Yes,"Data Analyst, Nissan, May 2025-August 2025 ","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Cooking, Foodie / Restaurants, Running, Hiking",
2,Full-Time Student from the DSAN Accelerated Program,"I’m originally from Seattle, WA, and have loved living in DC the past four years! In my undergrad at Georgetown I was involved with Georgetown REUSE, IfYoureReadingThis, the Georgetown Journal of International Affairs, and the Caravel. I work on issues related to cybersecurity and critical infrastructure security. I also enjoy running, spending time with my friends, and visiting DCs amazing museums.","Science, Technology, and International Affairs",Yes,"Research Associate and former Intern, Foundation for Defense of Democracies Center on Cyber and Tech Innovation, Jan 2024-current
Research Intern, Georgetown Edunomics Lab, June 2023-August 2023","I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Art / Art History, Museums, Cooking, Running",Congrats on starting DSAN!
3,Full-Time Student,I love life and have a strong academic pursuit,"Computer Science, Engineering",Yes,"Summer Research Assistant Intern, Case Western Reserve University, May 2025-Aug 2025","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Music, Museums, Travel, Cooking, Video Games / Gaming, Sports, Hiking",
4,Full-Time Student,"Hey y'all!
I'm a second-year full-time student here in the DSAN program. I'm from a small town in Arkansas (shoutout Walmart). I'm quite an extroverted person both in and out of class, and you'll definitely see me floating throughout the year. A fun fact about me is that I grew up with 4 siblings on a farm, so that cultivated into a loud and outgoing personality ;P. I have many hobbies outside of the program, like fitness, public speaking, fashion, hiking, music, clubbing, activism, reading, and trivia. My work inside the program typically deals with data science for social good; more specifically, how we can be more inclusive with the fairness algorithms we build. I'm hoping to pursue a PhD in computational social science with an emphasis on policy analysis. If I don't end up being your mentor, I'm always down to grab a coffee or work at a cafe together! 
Whether personally or academically, I'm happy to be your center of contact throughout your experience here in the program!",Statistics,Yes,N/A,"I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Music, Languages, Writing, Travel, Cooking, Foodie / Restaurants, Fitness, Running, Hiking","Even if I'm not your mentor, please feel free to reach out for anything!"
5,Full-Time Student,"Hi everyone! I am originally from Salisbury, MD (near Ocean City). I went to Salisbury University and double majored in Data Science and Marketing. I have had past internship experiences at a food start-up, a big four, and I am currently a Savings Product Data Science intern at Navy Federal Credit Union. In my free time I love to try new restaurants, coffee spots, and shop on M street! ","Business, Data Science",Yes,"Savings Products Data Scientist, Navy Federal Credit Union, May-August 2025","I want to make new friends, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Languages, Foodie / Restaurants, Fitness, Hiking",
6,Full-Time Student,"In my spare time, I like to try out new restaurants and cafes, travel with my dog, especially to beach resorts, and try different sparkling wines. My new hobby lately is going to music festivals.",Computer Science,No,,"I want to make new friends, I want to expand my professional network, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am friendly and welcoming","Music, Photography, Travel, Cooking, Foodie / Restaurants",
7,Full-Time Student,"Hi! I'm a graduate student in Data Science and Analytics at Georgetown University. I’m passionate about using data to solve real-world problems and make meaningful impact, especially in areas like public service, sustainability, and innovation.

Outside of academics, I love exploring local cafes, going to art shows and traveling. I’m excited to connect with you, share what I’ve learned, and learn from your perspectives too!","Computer Science, Information management and information systems",No,,"I want to make new friends, I want to expand my professional network, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I am strong academically, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Art / Art History, Museums, Photography, Film Enthusiast, Travel, Foodie / Restaurants",
8,Full-Time Student,"Hi friends! I come from a different undergraduate background, so I understand the challenges of transferring and adjusting to a new discipline. If you're going through a similar transition, I’m happy to support you. I’m more on the introverted side, but I genuinely want to help. Excited to have you here, and I hope you enjoy your time with us!",Architecture,No,,"I want to make new friends, I want to give back to the Data Science & Analytics program and Georgetown community",I am friendly and welcoming,"Video Games / Gaming, Fitness, take care of my fish tank",
9,Full-Time Student,"Hi! I’m a DSAN student from China with a background in mathematics. I’m passionate about data science, especially in areas like analytics, machine learning, and visualization. Outside of academics, I enjoy exploring D.C., trying out new restaurants, and visiting nearby places on weekends. I know starting a new program in a new country can be challenging, so I’m happy to share my experiences and help you settle in!",Applied Mathematics,Yes,"Data Engineer Intern, Thunder Express, May 2025- Aug 2025","I want to make new friends, I want to give back to the Data Science & Analytics program and Georgetown community","I am familiar with life in DC, I have work and/or internship experience, I enjoy organizing social activities, I am friendly and welcoming","Reading, Music, Museums, Travel, Cooking, Foodie / Restaurants, Video Games / Gaming, Fitness",NA
10,Full-Time Student,"I am an international student originally from Tel Aviv. I moved to the US to play basketball as a student athlete where I also pursued CS and Math degrees in a small school in the Chicago suburbs. I enjoy sports and cooking new foods. I live with my gf, and likely by the time I meet you with a dog too :)","Computer Science, Mathematics",Yes,"Solution Engineering, Summer 2023
Data Science, Jan 2025-August 2025","I want to make new friends, I want to expand my professional network, I want to share my experience and advice with first-year students, I want to give back to the Data Science & Analytics program and Georgetown community","I am strong academically, I have work and/or internship experience, I am friendly and welcoming","Reading, Travel, Cooking, Foodie / Restaurants, Sports, Fitness, Hiking",
